school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject
GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,True,False,False,False,True,True,False,False,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6,math
GP,F,17.0,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,False,True,False,False,False,True,True,False,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6,math
GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,3.0,True,False,True,False,True,True,True,False,4.0,3.0,2.0,2.0,3.0,3.0,10.0,,8.0,10,math
GP,F,15.0,U,GT3,T,4.0,2.0,health,services,home,mother,1.0,3.0,0.0,False,True,True,True,True,True,True,True,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15,math
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,father,1.0,2.0,0.0,False,,True,False,True,True,False,False,4.0,,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10,math
GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,False,True,True,True,True,True,True,False,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15,math
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,False,False,False,False,True,True,True,False,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11,math
GP,F,17.0,U,GT3,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,True,,False,,True,True,False,False,4.0,1.0,4.0,1.0,1.0,1.0,,,,6,math
GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,False,True,True,,True,True,True,False,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19,math
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,False,True,True,True,True,True,True,False,5.0,5.0,,1.0,1.0,5.0,0.0,14.0,15.0,15,math
GP,F,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,False,True,True,False,True,True,True,False,3.0,3.0,3.0,1.0,2.0,2.0,0.0,,,9,math
GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,father,3.0,,0.0,False,True,False,True,True,True,True,False,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,,12,math
